,Player,Team,Numbers,Position,Height,Weight,Last_Attedent,Country
0,PreciousAchiuwa,TOR,5.0,F,6-8,225 lbs,Memphis,Nigeria
1,StevenAdams,MEM,12.0,C,6-11,265 lbs,Pittsburgh,New Zealand
2,BamAdebayo,MIA,13.0,C-F,6-9,255 lbs,Kentucky,USA
3,SantiAldama,MEM,,F-C,6-11,215 lbs,Loyola-Maryland,Spain
4,Ty-ShonAlexander,PHX,0.0,G,6-3,195 lbs,Creighton,USA
5,NickeilAlexander-Walker,NOP,6.0,G,6-6,205 lbs,Virginia Tech,Canada
6,GraysonAllen,MIL,3.0,G,6-4,198 lbs,Duke,USA
7,JarrettAllen,CLE,31.0,C,6-11,243 lbs,Texas-Austin,USA
8,JoseAlvarado,NOP,,G,6-0,179 lbs,Georgia Tech,USA
9,Al-FarouqAminu,SAS,5.0,F,6-8,220 lbs,Wake Forest,USA
10,KyleAnderson,MEM,1.0,F-G,6-9,230 lbs,UCLA,USA
11,GiannisAntetokounmpo,MIL,34.0,F,6-11,242 lbs,Filathlitikos,Greece
12,KostasAntetokounmpo,LAL,37.0,F,6-10,200 lbs,Dayton,Greece
13,ThanasisAntetokounmpo,MIL,43.0,F,6-6,219 lbs,Panathinaikos,Greece
14,CarmeloAnthony,LAL,7.0,F,6-7,238 lbs,Syracuse,USA
15,ColeAnthony,ORL,50.0,G,6-2,185 lbs,North Carolina,USA
16,OGAnunoby,TOR,3.0,F,6-7,232 lbs,Indiana,United Kingdom
17,RyanArcidiacono,CHI,51.0,G,6-3,195 lbs,Villanova,USA
18,TrevorAriza,LAL,1.0,F,6-8,215 lbs,UCLA,USA
19,D.J.Augustin,HOU,14.0,G,5-11,183 lbs,Texas-Austin,USA
20,DeniAvdija,WAS,9.0,F,6-9,210 lbs,Maccabi Tel Aviv,Israel
21,JoelAyayi,LAL,,G,6-5,180 lbs,Gonzaga,France
22,DeandreAyton,PHX,22.0,C,6-11,250 lbs,Arizona,Bahamas
23,UdokaAzubuike,UTA,20.0,C-F,6-10,280 lbs,Kansas,Nigeria
24,DwayneBacon,NYK,8.0,G-F,6-6,221 lbs,Florida State,USA
25,MarvinBagley III,SAC,35.0,F,6-11,235 lbs,Duke,USA
26,LaMeloBall,CHA,2.0,G,6-6,180 lbs,Illawarra,USA
27,LonzoBall,CHI,2.0,G,6-6,190 lbs,UCLA,USA
28,MoBamba,ORL,5.0,C,7-0,231 lbs,Texas-Austin,USA
29,DesmondBane,MEM,22.0,G,6-5,215 lbs,TCU,USA
30,DalanoBanton,TOR,,F,6-9,204 lbs,Nebraska,Canada
31,HarrisonBarnes,SAC,40.0,F,6-8,225 lbs,North Carolina,USA
32,ScottieBarnes,TOR,,F,6-7,225 lbs,Florida State,USA
33,RJBarrett,NYK,9.0,F-G,6-6,214 lbs,Duke,Canada
34,WillBarton,DEN,5.0,G,6-6,181 lbs,Memphis,USA
35,CharlesBassey,PHI,,C-F,6-10,230 lbs,Western Kentucky,Nigeria
36,KeitaBates-Diop,SAS,31.0,F,6-8,229 lbs,Ohio State,USA
37,NicolasBatum,LAC,33.0,G-F,6-8,230 lbs,Le Mans,France
38,KentBazemore,LAL,9.0,G-F,6-4,195 lbs,Old Dominion,USA
39,DariusBazley,OKC,7.0,F-G,6-8,208 lbs,Princeton HS (OH),USA
40,BradleyBeal,WAS,3.0,G,6-3,207 lbs,Florida,USA
41,MalikBeasley,MIN,5.0,G,6-4,187 lbs,Florida State,USA
42,JuhannBegarin,BOS,,G,6-5,185 lbs,"Paris, France",France
43,JordanBell,GSW,7.0,F,6-8,216 lbs,Oregon,USA
44,DeAndre'Bembry,BKN,95.0,G-F,6-5,210 lbs,St. Joseph's (PA),USA
45,DavisBertans,WAS,42.0,F,6-10,225 lbs,Baskonia,Latvia
46,PatrickBeverley,MEM,21.0,G,6-1,180 lbs,Arkansas,USA
47,SaddiqBey,DET,41.0,F,6-7,215 lbs,Villanova,USA
48,TylerBey,DAL,2.0,F,6-7,215 lbs,Colorado,USA
49,KhemBirch,TOR,24.0,C,6-9,233 lbs,UNLV,Canada
